Année,Autonomie_constructeur,Boîte_de_vitesse,Capacité_batterie,Classe_Emission,Conso_batterie,Consommation_mixte,Contrôle_technique,Couleur_extérieure,Couleur_intérieure,CritAir,Garantie,Garantie_constructeur,Intensité_batterie,Kilométrage_compteur,Lien,Localisation,Mise_en_circulation,Nom_Vendeur,Nombre_de_places,Nombre_de_portes,Nombre_de_propriétaires,Norme_Euro,Première_main,Prime_à_la_conversion,Prix_inclut_la_batterie,Provenance,Puissance_din,Puissance_fiscale,Puissance_moteur,Rechargeable,Type_Vendeur,Voltage_batterie,Vérifié_Et_Garanti,marque,modele,niveau_equipement,nom_complet,prix,ref_annonce,ref_pro,Émissions_de_CO2,Énergie
2016,,mécanique,,B,,4.2 l/100km,requis,foncé metal,tissu noir,1,,,,109 150 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102142454.html,77,11/04/2016,M. ou Mme H.,5,5,2,EURO6,non,,,,60 ch,4 CV,44 kW,,Vendeur particulier,,,Volkswagen,POLO 5,Equipement standard,VOLKSWAGEN POLO V (2) 1.0 60 EDITION 3P,9 420 €,B102142454,,114 g/km,Essence
2007,,mécanique,,C,,4.8 l/100km,requis,rouge foncé verni,tissu gris/bleu,2,,,,81 730 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102157566.html,92,08/08/2007,M. ou Mme L.,4,3,3,EURO4,non,,,,75 ch,5 CV,55 kW,,Vendeur particulier,,,Renault,TWINGO,,RENAULT TWINGO (3) 1.2 16S EMOTION,3 630 €,B102157566,,138 g/km,Essence
2019,,automatique,,F,,7.6 l/100km,non requis,gris foncé metal,cuir gris,1,,,,44 160 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102138466.html,44,16/12/2019,M. ou Mme R.,5,5,1,EURO6,oui,,,,361 ch,25 CV,265 kW,,Vendeur particulier,,,Porsche,MACAN,Equipement standard,PORSCHE MACAN 3.0 V6 GTS,96 480 €,B102138466,,212 g/km,Essence
2018,,mécanique,,C,,4.4 l/100km,requis,gris foncé metal,tissu gris,1,,,,79 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137221.html,78,01/02/2018,M. ou Mme C.,5,3,2,EURO6,non,,,,101 ch,5 CV,74 kW,,Vendeur particulier,,,Opel,CORSA 5,Bien équipé,OPEL CORSA V 1.4 TURBO 100 S/S PLAY 3P,10 930 €,B102137221,,122 g/km,Essence
2020,,automatique,,B,,5.2 l/100km,non requis,bleu marine metal,cuir noir,1,,,,23 200 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155262.html,92,22/09/2020,M. ou Mme D.,2,3,2,EURO6,oui,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Smart,FORTWO 3,,SMART FORTWO III 0.9 BRABUS STYLE BVA BVA6,22 620 €,B102155262,,113 g/km,Essence
2008,,mécanique,,F,,6.8 l/100km,requis,argent metal,cuir noir,2,,,,83 520 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156627.html,34,01/02/2008,M. ou Mme B.,2,2,3,EURO4,non,,,Importé,245 ch,16 CV,195 kW,,Vendeur particulier,,,Porsche,CAYMAN TYPE 987,,PORSCHE CAYMAN (987) 2.7 245,37 120 €,B102156627,,222 g/km,Essence
1977,,mécanique,,,,,requis,jaune mat,simili cuir noir,,,,,11 396 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155592.html,69,23/06/1977,M. ou Mme L.,2,2,2,,non,,,,29 ch,3 CV,,,Vendeur particulier,,,Citroen,MEHARI,,CITROEN MEHARI 650 26CH,24 200 €,B102155592,,,Essence
2019,,automatique,,F,,6.7 l/100km,non requis,noir opaque (verni sans reflet),cuir noir,2,,,,75 600 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102162818.html,71,24/06/2019,M. ou Mme D.,5,4,2,EURO6,non,,,,161 ch,7 CV,118 kW,,Vendeur particulier,,,Ford,RANGER 3,Très bien équipé,FORD RANGER III 2.2 TDCI 160 4WD DOUBLE CAB LIMITED AUTO,32 360 €,B102162818,,207 g/km,Diesel
2015,,mécanique,,B,,3.6 l/100km,requis,gris clair metal,tissu gris,2,,,,110 670 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147684.html,35,17/10/2015,M. ou Mme N.,5,5,3,EURO5,non,,,,95 ch,5 CV,70 kW,,Vendeur particulier,,,Ford,B-MAX,Bien équipé,FORD B-MAX 1.6 TDCI 95 FAP TITANIUM BVM,10 590 €,B102147684,,104 g/km,Diesel
2018,,automatique,,C,,4.9 l/100km,requis,noir metal,cuir noir,1,,,,62 540 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102104171.html,92,12/02/2018,M. ou Mme C.,7,5,2,EURO6,non,,,,131 ch,7 CV,96 kW,,Vendeur particulier,,,Peugeot,5008 (2E GENERATION),Très bien équipé,PEUGEOT 5008 II 1.2 PURETECH 130 S&S ALLURE EAT6,30 440 €,B102104171,,127 g/km,Essence
2018,,automatique,,C,,4.7 l/100km,non requis,bleu metal,cuir/alcantara beige,2,,,,164 720 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154968.html,57,12/01/2019,M. ou Mme R.,7,5,2,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Volkswagen,SHARAN 2,Bien équipé,VOLKSWAGEN SHARAN II (2) 2.0 TDI 150 BLUEMOTION TECHNOLOGY CONFORTLINE DSG6,24 340 €,B102154968,,137 g/km,Diesel
2007,,mécanique,,E,,5.8 l/100km,requis,gris clair metal,cuir noir,2,,,,163 709 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140274.html,67,07/09/2007,M. ou Mme T.,2,2,3,EURO4,non,,,,127 ch,8 CV,93 kW,,Vendeur particulier,,,Mazda,MX5 (3E GENERATION),Equipement standard,MAZDA MX5 III ROADSTER 1.8 125 ELEGANCE CUIR,12 200 €,B102140274,,174 g/km,Essence
2022,226 Km,automatique,32.6 kWh,A,14 kWh/100km,,non requis,noir metal,cuir noir,0,,en cours,93 A,12 508 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161766.html,13,14/11/2022,M. ou Mme M.,4,3,1,EURO6,oui,,,,102 ch,5 CV,135 kW,oui,Vendeur particulier,352 V,,Mini,3 3P,Bien équipé,MINI MINI III (2) COOPER SE EDITION MOSAERT 184 BVA 3P,39 400 €,B102161766,,0 g/km,Electrique
2021,41 Km,automatique,13.1 kWh,A,,,non requis,gris metal,cuir noir,1,,en cours,33.7 A,18 689 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102078712.html,33,09/03/2021,M. ou Mme G.,5,5,1,EURO6,oui,,,,301 ch,19 CV,297 kW,oui,Vendeur particulier,389 V,,Land rover,RANGE ROVER SPORT 2,Bien équipé,LAND ROVER RANGE ROVER SPORT II (2) P400E 2.0 PHEV 404CH HSE DYNAMIC AUTO,105 450 €,B102078712,,77 g/km,Hybride essence électrique
2019,,mécanique,,E,,6.3 l/100km,non requis,argent metal,tissu noir,2,,,,32 373 Km,https://www.lacentrale.fr/auto-occasion-annonce-66102061742.html,94,23/10/2019,M. ou Mme C.,5,4,2,EURO6,oui,,,,150 ch,8 CV,110 kW,,Vendeur particulier,,,Toyota,HILUX 4,,TOYOTA HILUX IV 4WD 2.4 D-4D DOUBLE CABINE LEGENDE SPORT,39 130 €,B102061742,,185 g/km,Diesel
2018,,automatique,,E,,6.6 l/100km,requis,blanc verni,cuir noir,2,,,,111 180 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154058.html,93,14/08/2018,M. ou Mme D.,5,5,4,EURO6,non,,,,258 ch,16 CV,190 kW,,Vendeur particulier,,,Mercedes,GLE,Bien équipé,MERCEDES GLE 350 D 4MATIC SPORTLINE,53 190 €,B102154058,,179 g/km,Diesel
2016,,automatique,,D,,5.6 l/100km,requis,gris foncé nacre,cuir/alcantara gris,2,,,,114 540 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155303.html,31,15/11/2016,M. ou Mme T.,5,5,2,EURO6,non,,,,259 ch,16 CV,190 kW,,Vendeur particulier,,,Audi,Q5,Bien équipé,AUDI Q5 (2) 3.0 V6 TDI CLEAN DIESEL 258 S LINE QUATTRO S TRONIC 7,35 650 €,B102155303,,156 g/km,Diesel
2015,,mécanique,,B,,4.3 l/100km,requis,marron clair nacre,tissu beige,1,,,,33 005 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150410.html,92,08/04/2015,M. ou Mme A.,4,3,4,EURO6,non,,,,69 ch,4 CV,51 kW,,Vendeur particulier,,,Fiat,500 (2E GENERATION),Bien équipé,FIAT 500 II 1.2 8V 69 LOUNGE,8 850 €,B102150410,,119 g/km,Essence
2018,,mécanique,,B,,3.8 l/100km,requis,blanc nacre,cuir noir,2,,,,57 266 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147777.html,77,14/08/2018,M. ou Mme S.,5,5,2,EURO6,non,,,,110 ch,5 CV,81 kW,,Vendeur particulier,,,Nissan,JUKE,Bien équipé,NISSAN JUKE 1.5 DCI 110 STOP/START TEKNA,14 960 €,B102147777,,104 g/km,Diesel
2018,,mécanique,,B,,4.4 l/100km,requis,blanc mat,cuir noir,2,,,,125 080 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102149384.html,45,22/03/2018,M. ou Mme C.,5,5,2,EURO6,non,,,,120 ch,6 CV,88 kW,,Vendeur particulier,,,Honda,CR-V 4,Bien équipé,HONDA CR-V IV (2) 1.6 I-DTEC 120 2WD EXECUTIVE NAVI PLUS,20 650 €,B102149384,,119 g/km,Diesel
2018,,automatique,,E,,6.3 l/100km,requis,blanc metal,tweed noir,1,,,,73 780 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140733.html,94,22/06/2018,M. ou Mme B.,5,5,2,EURO6,non,,,Importé,150 ch,9 CV,110 kW,,Vendeur particulier,,,Volkswagen,TIGUAN 2,Très bien équipé,VOLKSWAGEN TIGUAN II 1.4 TSI 150 BLUEMOTION TECHNOLOGY CARAT EXCLUSIVE 4MOTION DSG6,30 940 €,B102140733,,163 g/km,Essence
2018,,automatique,,E,,6.6 l/100km,requis,bleu mat,cuir marron,2,,,,46 020 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147305.html,92,07/09/2018,M. ou Mme A.,5,5,1,EURO6,oui,,,,259 ch,16 CV,190 kW,,Vendeur particulier,,,Mercedes,GLE,Bien équipé,MERCEDES GLE 350 D 4MATIC EXECUTIVE,75 520 €,B102147305,,187 g/km,Diesel
2016,,mécanique,,B,,4.2 l/100km,requis,gris metal,tissu noir,2,,,,118 770 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102142443.html,77,09/06/2016,M. ou Mme D.,5,5,2,EURO6,non,,,,116 ch,6 CV,85 kW,,Vendeur particulier,,,Hyundai,TUCSON 3,Bien équipé,HYUNDAI TUCSON III (2) 1.6 CRDI 115 CREATIVE,15 830 €,B102142443,,119 g/km,Diesel
2005,,mécanique,,,,5.5 l/100km,requis,gris metal,tissu gris,4,,,,248 545 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102159320.html,73,21/03/2005,M. ou Mme S.,5,5,2,EURO3,non,,,,90 ch,5 CV,66 kW,,Vendeur particulier,,,Citroen,XSARA PICASSO,,CITROEN PICASSO 2.0 HDI,2 720 €,B102159320,,,Diesel
2015,,automatique,,G,,8.3 l/100km,requis,blanc verni,cuir noir,1,,,,48 070 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137033.html,78,08/05/2015,M. ou Mme L.,2,2,2,EURO5,non,,,,495 ch,40 CV,364 kW,,Vendeur particulier,,,Jaguar,F-TYPE,Equipement standard,JAGUAR F-TYPE CABRIOLET 5.0 V8 SURALIMENTE 495 S,68 420 €,B102137033,,259 g/km,Essence
1968,,automatique,,,,,requis,noir metal,cuir noir,,,,,94 350 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102156769.html,44,07/03/1968,M. ou Mme F.,4,2,2,,non,,,Importé,200 ch,27 CV,,,Vendeur particulier,,,Ford,MUSTANG COUPE,,FORD MUSTANG 4.7 V8 200 289 CI,36 850 €,B102156769,,,Essence
2017,,automatique,,E,,6 l/100km,requis,blanc metal,cuir/alcantara noir,1,,,,54 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102141315.html,74,24/04/2017,M. ou Mme G.,5,5,3,EURO6,non,,,,381 ch,26 CV,280 kW,,Vendeur particulier,,,Mercedes,CLASSE A 3 AMG,,MERCEDES CLASSE A III (2) 45 AMG 4MATIC,44 970 €,B102141315,,171 g/km,Essence
2016,,mécanique,,D,,6.1 l/100km,requis,noir verni,cuir/tissu noir,1,,,,68 435 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102064325.html,06,20/04/2016,M. ou Mme M.,4,3,,EURO6,non,,,,230 ch,13 CV,169 kW,,Vendeur particulier,,,Audi,TT 3,Très bien équipé,AUDI TT III COUPE 2.0 TFSI 230 S LINE,28 550 €,B102064325,,141 g/km,Essence
2021,,automatique,,E,,,non requis,gris quartz metal,alcantara gris,1,,en cours,,7 440 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153800.html,74,16/11/2021,M. ou Mme F.,5,5,2,EURO6,oui,,,,245 ch,14 CV,180 kW,,Vendeur particulier,,,Volkswagen,GOLF 8 GTI,Très bien équipé,VOLKSWAGEN GOLF VIII 2.0 TSI 245 GTI DSG7,50 280 €,B102153800,,168 g/km,Essence
2016,,mécanique,,A,,3.8 l/100km,requis,blanc mat,tissu noir,1,,,,60 512 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102134753.html,94,30/09/2016,M. ou Mme D.,5,5,2,EURO6,non,,,,69 ch,4 CV,51 kW,,Vendeur particulier,,,Toyota,YARIS 3,Equipement standard,TOYOTA YARIS III (2) 69 VVT-I FRANCE 5P,13 200 €,B102134753,,99 g/km,Essence
1997,,mécanique,,F,,7.5 l/100km,requis,gris clair verni,tissu gris,,,,,281 760 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162364.html,11,27/12/1996,M. ou Mme L.,7,5,2,EURO1,non,,,,113 ch,10 CV,83 kW,,Vendeur particulier,,,Land rover,DISCOVERY 2,,LAND ROVER DISCOVERY II TDI COUNTRY SHOW 5P,6 480 €,B102162364,,248 g/km,Diesel
2017,,mécanique,,B,,4 l/100km,requis,bleu metal,cuir/tissu noir,1,,,,103 783 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161024.html,91,05/03/2017,M. ou Mme T.,5,3,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Ds,3,Equipement standard,DS DS 3 (2) 1.2 PURETECH 130 S&S BE CHIC MANUEL,15 500 €,B102161024,,105 g/km,Essence
2018,,automatique,,C,,4.3 l/100km,requis,bleu marine nacre,cuir blanc,2,,,,136 960 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102159642.html,16,27/08/2018,M. ou Mme D.,5,4,3,EURO6,non,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Bmw,SERIE 4 G26 GRAN COUPE,Très bien équipé,BMW SERIE 4 (G26) GRAN COUPE 420D XDRIVE 190 M SPORT LIMITED BVA8,26 640 €,B102159642,,126 g/km,Diesel
2019,,mécanique,,B,,4.6 l/100km,non requis,beige metal,tissu gris/bleu,1,,,,91 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146837.html,75,17/09/2019,M. ou Mme G.,5,5,3,EURO6,non,,,,82 ch,4 CV,60 kW,,Vendeur particulier,,,Citroen,C3 AIRCROSS,Très bien équipé,CITROEN C3 AIRCROSS 1.2 PURETECH 82 SHINE,14 220 €,B102146837,,116 g/km,Essence
2022,,automatique,,C,,5.4 l/100km,non requis,bleu marine metal,tissu noir,1,,en cours,,14 840 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102155819.html,76,18/06/2022,M. ou Mme B.,5,5,2,EURO6,non,,,,101 ch,5 CV,74 kW,,Vendeur particulier,,,Opel,CORSA 6,Bien équipé,OPEL CORSA VI 1.2 TURBO 100 ELEGANCE AUTO 5P,18 970 €,B102155819,,122 g/km,Essence
1999,,mécanique,,E,,5.8 l/100km,requis,blanc mat,velours gris,3,,,,138 872 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102159089.html,69,21/07/1999,M. ou Mme D.,5,5,2,EURO2,non,,,,88 ch,7 CV,65 kW,,Vendeur particulier,,,Peugeot,306,,PEUGEOT 306 (2) 1.6 SYMBIO 5P,2 780 €,B102159089,,177 g/km,Essence
2019,,automatique,,C,,4.8 l/100km,non requis,noir metal,tissu gris,1,,,,43 290 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102163069.html,92,15/05/2019,M. ou Mme R.,5,5,2,EURO6,oui,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Audi,A5 SPORTBACK (2E GENERATION),Bien équipé,AUDI A5 II SPORTBACK 2.0 TFSI 190 BUSINESS LINE S TRONIC 7,36 630 €,B102163069,,128 g/km,Essence
2014,,mécanique,,D,,5.4 l/100km,requis,marron verni,cuir marron,2,,,,196 800 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102147055.html,69,02/08/2014,M. ou Mme G.,5,5,2,EURO5,non,,,,136 ch,8 CV,100 kW,,Vendeur particulier,,,Kia,SPORTAGE 3,Bien équipé,KIA SPORTAGE III 2.0 CRDI 136 4WD ORIGINS ULTIMATE,13 800 €,B102147055,,156 g/km,Diesel
2017,,mécanique,,A,,3.2 l/100km,requis,gris metal,tissu gris,2,,,,122 850 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102154297.html,93,24/07/2017,M. ou Mme H.,5,5,3,EURO6,non,,,,99 ch,5 CV,74 kW,,Vendeur particulier,,,Citroen,C4 (2E GENERATION),Bien équipé,CITROEN C4 II BLUEHDI 100 BUSINESS,9 820 €,B102154297,,95 g/km,Diesel
2020,,mécanique,,B,,4.7 l/100km,non requis,noir metal,simili cuir noir,1,,,,52 430 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152376.html,95,16/10/2020,M. ou Mme B.,5,5,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Peugeot,308 (2E GENERATION) SW,Très bien équipé,PEUGEOT 308 II (2) SW 1.2 PURETECH 130 S&S 6CV TECH EDITION,19 240 €,B102152376,,103 g/km,Essence
2007,,mécanique,,G,,7.8 l/100km,requis,noir verni,cuir noir,4,,,,246 127 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152495.html,11,31/01/2008,M. ou Mme H.,5,5,3,EURO3,non,,,,174 ch,12 CV,128 kW,,Vendeur particulier,,,Volkswagen,TOUAREG,,VOLKSWAGEN TOUAREG 2.5 R5 TDI CARAT PACK LUXE,8 220 €,B102152495,,265 g/km,Diesel
2023,,automatique,1.2 kWh,A,,,non requis,blanc nacre,simili cuir gris,1,,en cours,,3 301 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102143514.html,01,15/12/2023,M. ou Mme B.,5,5,1,EURO6,oui,,,,91 ch,5 CV,103 kW,non,Vendeur particulier,230 V,,Renault,CLIO 5,Bien équipé,RENAULT CLIO V 1.6 E-TECH 140 LUTECIA 21N,25 100 €,B102143514,,99 g/km,Hybride essence électrique
2004,,mécanique,,F,,7.1 l/100km,requis,gris clair metal,cuir/alcantara noir,3,,,,88 624 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102125106.html,35,17/06/2004,M. ou Mme T.,2,2,2,EURO3,non,,,Importé,229 ch,15 CV,,,Vendeur particulier,,,Porsche,BOXSTER TYPE 986,,PORSCHE BOXSTER (986) 2.7 228,26 440 €,B102125106,,233 g/km,Essence
2017,,automatique,,E,,5.2 l/100km,requis,noir metal,cuir noir,1,,,,57 240 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137038.html,91,04/04/2017,M. ou Mme C.,5,4,2,EURO6,non,,,,275 ch,17 CV,301 kW,,Vendeur particulier,,,Maserati,QUATTROPORTE 6,Equipement standard,MASERATI QUATTROPORTE VI S Q4,54 000 €,B102137038,,163 g/km,Essence
2014,,automatique,,B,,4.2 l/100km,requis,noir metal,tissu gris,1,,,,45 668 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102152860.html,75,21/12/2014,M. ou Mme D.,4,3,2,EURO5,oui,,,,68 ch,4 CV,50 kW,,Vendeur particulier,,,Toyota,IQ,Equipement standard,TOYOTA IQ 68 VVT-I CITY MULTIDRIVE,11 770 €,B102152860,,110 g/km,Essence
2011,,automatique,,E,,5.9 l/100km,requis,blanc nacre,cuir noir,3,,,,174 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137594.html,13,11/02/2011,M. ou Mme G.,4,2,5,EURO4,non,,,,239 ch,15 CV,180 kW,,Vendeur particulier,,,Audi,A5,Bien équipé,AUDI A5 (2) 3.0 V6 TDI 245 S LINE QUATTRO S TRONIC,14 710 €,B102137594,,182 g/km,Diesel
2018,,automatique,,B,,4.5 l/100km,requis,gris foncé metal,cuir noir,1,,,,83 700 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102162079.html,35,02/04/2018,M. ou Mme K.,5,4,2,EURO6,non,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Audi,A4 (5E GENERATION),Très bien équipé,AUDI A4 V 2.0 TFSI ULTRA 190 DESIGN LUXE S TRONIC,31 960 €,B102162079,,119 g/km,Essence
2016,,automatique,,D,,4.5 l/100km,requis,gris clair metal,tissu noir,2,,,,223 846 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102160766.html,44,01/11/2016,M. ou Mme C.,7,5,1,EURO6,oui,,,,170 ch,10 CV,125 kW,,Vendeur particulier,,,Opel,ZAFIRA 3 TOURER,Bien équipé,OPEL ZAFIRA TOURER III 2.0 CDTI FAP 170 COSMO PACK BA6,11 560 €,B102160766,,153 g/km,Diesel
2018,54 Km,automatique,17.3 kWh,A,19 kWh/100km,,requis,gris foncé metal,cuir noir,1,,,,91 060 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102149172.html,37,14/09/2018,M. ou Mme S.,5,5,2,EURO6,non,,,,259 ch,13 CV,275 kW,oui,Vendeur particulier,,,Audi,Q7 (2E GENERATION),Très bien équipé,AUDI Q7 II 3.0 TDI E-TRON 373 AVUS EXTENDED QUATTRO TIPTRONIC,64 950 €,B102149172,,50 g/km,Hybride diesel électrique
2018,,mécanique,,B,,4.2 l/100km,requis,bleu metal,tissu blanc,1,,,,37 260 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102161848.html,91,09/05/2018,M. ou Mme G.,4,3,2,EURO6,non,,,,69 ch,4 CV,51 kW,,Vendeur particulier,,,Fiat,500 (2E GENERATION),Bien équipé,FIAT 500 II (2) 1.2 8V 69 LOUNGE,12 960 €,B102161848,,115 g/km,Essence
2022,,automatique,50 kWh,,,,non requis,gris clair metal,cuir/tissu blanc,0,,en cours,,27 280 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102089015.html,13,07/09/2022,M. ou Mme A.,5,5,1,EURO6,oui,,,,78 ch,4 CV,100 kW,oui,Vendeur particulier,,,Ds,3 CROSSBACK,Equipement standard,DS DS 3 CROSSBACK E-TENSE 50KWH LA PREMIERE AUTOMATIQUE,40 280 €,B102089015,,,Electrique
2008,,mécanique,,F,,7 l/100km,requis,vert metal,tissu beige,4,,,,197 768 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151883.html,76,12/05/2008,M. ou Mme T.,5,3,2,EURO3,non,,,,131 ch,9 CV,110 kW,,Vendeur particulier,,,Volkswagen,CALIFORNIA T6,Très bien équipé,VOLKSWAGEN CALIFORNIA 6.1 2.0 TDI 150 BMT BVM6 OCEAN,29 380 €,B102151883,,230 g/km,Diesel
2004,,mécanique,,E,,6 l/100km,requis,blanc mat,tissu gris,3,,,,174 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150551.html,38,26/12/2004,M. ou Mme D.,5,5,1,EURO3,oui,,,,115 ch,7 CV,85 kW,,Vendeur particulier,,,Citroen,C5,,CITROEN C5 1.8 16S,3 270 €,B102150551,,182 g/km,Essence
2020,,automatique,,C,,4.5 l/100km,non requis,bordeaux metal,cuir/alcantara gris,2,,,,69 288 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102146231.html,93,18/06/2020,M. ou Mme A.,5,5,2,EURO6,oui,,,,190 ch,10 CV,140 kW,,Vendeur particulier,,,Audi,A4 (5E GENERATION) AVANT,Très bien équipé,AUDI A4 V AVANT 40 TDI 190 DESIGN LUXE S TRONIC,34 500 €,B102146231,,137 g/km,Diesel
2021,,automatique,,C,,5.1 l/100km,non requis,gris metal,tissu noir,2,,,,44 544 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102153829.html,91,22/06/2021,M. ou Mme B.,7,5,2,EURO6,non,,,,131 ch,6 CV,96 kW,,Vendeur particulier,,,Citroen,C4 SPACETOURER,Bien équipé,CITROEN C4 SPACETOURER 1.5 BLUEHDI 130 S&S ORIGINS EAT8,25 530 €,B102153829,,136 g/km,Diesel
2016,,automatique,,C,,4.7 l/100km,requis,blanc nacre,cuir noir,2,,,,165 410 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102088590.html,34,19/09/2016,M. ou Mme V.,5,5,2,EURO6,non,,,,184 ch,10 CV,135 kW,,Vendeur particulier,,,Audi,Q3,Très bien équipé,AUDI Q3 (2) 2.0 TDI 184 AMBITION LUXE QUATTRO S TRONIC,23 800 €,B102088590,,139 g/km,Diesel
2020,,automatique,,F,,9.3 l/100km,non requis,gris anthracite metal,cuir/alcantara noir,1,,,,61 377 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102139939.html,13,23/06/2020,M. ou Mme G.,5,5,2,EURO6,non,,,,435 ch,33 CV,320 kW,non,Vendeur particulier,48 V,,Mercedes,GLE 2 AMG,Bien équipé,MERCEDES GLE II 53 AMG 4MATIC+ 7PL,147 470 €,B102139939,,212 g/km,Hybride essence électrique
2017,,mécanique,,C,,4.5 l/100km,requis,gris anthracite metal,cuir noir,1,,,,113 735 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102151208.html,31,28/11/2017,M. ou Mme P.,5,5,2,EURO6,non,,,,156 ch,8 CV,115 kW,,Vendeur particulier,,,Mercedes,CLASSE A 3,Très bien équipé,MERCEDES CLASSE A III 200 FASCINATION,24 360 €,B102151208,,132 g/km,Essence
2020,,automatique,,D,,6.2 l/100km,non requis,blanc nacre,cuir marron,2,,,,35 096 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102140973.html,93,26/06/2020,M. ou Mme S.,5,5,3,EURO6,non,,,,265 ch,16 CV,195 kW,,Vendeur particulier,,,Bmw,X5 G05,Bien équipé,BMW X5 (G05) XDRIVE30D 265 M SPORT BVA8,72 740 €,B102140973,,155 g/km,Diesel
2002,,mécanique,,G,,9.2 l/100km,requis,bleu marine metal,cuir rouge,3,,,,124 320 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102150050.html,73,13/02/2002,M. ou Mme O.,4,2,2,EURO3,non,,,,420 ch,33 CV,309 kW,,Vendeur particulier,,,Porsche,911 TYPE 996,,PORSCHE 911 (996) (2) 3.6 TURBO,62 720 €,B102150050,,309 g/km,Essence
2016,,automatique,,D,,5.4 l/100km,requis,gris metal,cuir/alcantara gris,1,,,,92 400 Km,https://www.lacentrale.fr//auto-occasion-annonce-66102137133.html,01,02/07/2016,M. ou Mme V.,4,3,2,EURO6,non,,,Importé,230 ch,13 CV,169 kW,,Vendeur particulier,,,Audi,TT 3,Très bien équipé,AUDI TT III COUPE 2.0 TFSI 230 S LINE QUATTRO S TRONIC,35 200 €,B102137133,,149 g/km,Essence
